Symbol,Company Name,Price,Market Cap (in M),P/E Ratio,Beta,Volume 52 weeks,Volume 1 month,52 Weeks High,52 Weeks Low,Exchange,Performance (52 weeks),Country,Chiffre d'affaires,Résultat net,Sector,Industry,Price 52 Weeks Ago,Currency,Total assets,EPS Annual,Dividend Per Share Annual,EBITDA CAGR (5y),EBITDA,ROI Annual,Ratio Debt/Equity (Annual),Dividend Yield Indicated Annual
MEIP,MEI Pharma Inc,3.39,22.78697128695652,,-1.265005,52806.44268774703,239755.41666666663,7.84,2.7293,NASDAQ,-0.3755715307064416,US,66754000.0,26155000.0,Healthcare,Biotechnology,5.421964645385742,USD,36029000.0,-4.7808,,,20735000.0,-129.43,0.0,0.0
LFUS,Littelfuse Inc,241.95,5987.85872101257,22.3872,1.1257148,118391.73913043478,100371.25,275.45,212.8,NASDAQ,-0.0609168502723423,US,2234752000.0,194587008.0,Technology,Electronic Components,257.6005554199219,USD,571505000.0,10.3372,2.5008,9.88,427772000.0,7.739999999999999,0.3519,1.1970928
GFAI,Guardforce AI Co Ltd,1.51,15.698871485947713,,2.4873865,261439.6245059289,202138.54166666663,5.24,1.46,NASDAQ,-0.6877193421321898,SG,36280504.0,-29605800.0,Industrials,Security & Protection Services,4.820000171661377,USD,,-4.5273,,,-16344517.0,-93.17,0.2579,
ITRI,Itron Inc,97.66,4423.66505732002,44.3259,1.4893749,448229.13833992096,737998.8333333334,112.78,56.13,NASDAQ,0.3922315864895977,US,2350456064.0,187596992.0,Technology,Scientific & Technical Instruments,70.20999908447266,USD,882217000.0,2.1146,0.0,57.28,290008992.0,5.489999999999999,0.347,
AOSL,Alpha and Omega Semiconductor Ltd,34.97,1036.4660079470214,88.0838,1.8338591,202726.28063241107,512560.375,47.45,19.38,NASDAQ,0.019587736154832,US,657273984.0,-11081000.0,Technology,Semiconductors,34.29999923706055,USD,205855000.0,0.4203,,11.05,49375988.0,1.32,0.061,
CNDT,Conduent Inc,3.07,633.1858571347402,,-0.21243986,1045320.114624506,1123549.5416666667,4.2,2.4,NASDAQ,-0.072699310754579,US,3633999872.0,22000000.0,Technology,Information Technology Services,3.309999942779541,USD,1917000000.0,-1.3654,0.0466,,158000000.0,-14.42,1.6628,
KA,Kineta Inc,0.6,6.8624940606060605,,0.2137712,292418.4743083004,1173453.0833333333,5.38,0.334,NASDAQ,-0.6749153798392533,US,5161000.0,-17886000.0,Healthcare,Biotechnology,1.840000033378601,USD,13600000.0,-1.2755,,,-15633750.0,-385.22,0.2664,
FLL,Full House Resorts Inc,5.16,179.56746624291495,,2.1086857,128234.28458498024,94478.08333333331,6.285,3.4001,NASDAQ,0.0865629005835202,US,274988000.0,-27790000.0,Consumer Cyclical,Resorts & Casinos,4.75,USD,23140000.0,-0.7214,0.0,18.27,44993000.0,-4.55,6.0317,
EBON,Ebang International Holdings Inc,5.95,37.30045061295973,,1.426182,33473.403162055336,10127.958333333334,18.94,5.65,NASDAQ,-0.2196905947963983,SG,4855181.0,-36772144.0,Technology,Computer Hardware,7.619999885559082,USD,,-7.0806,,,-44118984.0,-13.77,0.0,
PROK,ProKidney Corp,2.035,588.8889453114754,,2.559981,765383.3557312253,450966.2083333333,13.51,1.12,NASDAQ,-0.8408191966023992,US,,-35295000.0,Healthcare,Biotechnology,12.720000267028809,USD,944677.0,-0.5747,,,-146599008.0,-204.26,0.0037,
CIVB,Civista Bancshares Inc,15.6,245.89183879728856,5.6701,0.4935278,32810.023715415016,54759.833333333336,19.0,13.6,NASDAQ,-0.1070198306040022,US,147536000.0,32222000.0,Financial Services,Banks - Regional,17.464176177978516,USD,,2.835,0.6115,27.35,,8.84,0.3059,4.1316977
BRKR,Bruker Corp,63.36,9508.43683303947,21.3613,1.4822791,942371.837944664,1164853.125,94.75,53.81,NASDAQ,-0.0424400031408586,US,3119699968.0,352100000.0,Healthcare,Medical Devices,66.16031646728516,USD,1431900000.0,2.9022,0.2013,16.52,551400000.0,16.07,0.9305,0.33167496
INHD,Inno Holdings Inc,0.572,11.828472773456102,,0.1993079,294800.3435582822,44356.5,19.21,0.5015,NASDAQ,,US,751946.0,-4360367.0,Basic Materials,Steel,,USD,1188858.0,-0.1877,,,-4499773.0,-48.19,0.78,
MLGO,MicroAlgo Inc,0.9043,6.510607291666666,,0.7987968,3428263.703557312,10680539.875,155.0,1.03,NASDAQ,-0.9610984474229656,US,580016384.0,-268213344.0,Technology,Software - Infrastructure,23.040000915527344,CNY,55210655.0,-58.7929,,,-131253488.0,-80.08999999999999,0.042,
ANGH,Anghami Inc,0.88,26.144483402298853,,0.26605797,413962.4980237154,17758.833333333332,3.49,0.63,NASDAQ,-0.2217737235395338,AE,41380440.0,-15813351.0,Communication Services,Entertainment,1.1299999952316284,USD,,-0.5983,,,-11719309.0,,,
VNET,VNET Group Inc,1.835,465.883686,,1.0633209,1679977.584980237,745488.7083333334,3.87,1.39,NASDAQ,-0.3766580774632149,CN,7505273856.0,-2913134080.0,Technology,Information Technology Services,2.940000057220459,CNY,,-2.9339,,,1583928064.0,-13.82,2.1815,
HQY,Healthequity Inc,71.64,6259.539839797675,108.7788,-0.4030864,656937.0197628458,787927.75,88.26,61.84,NASDAQ,0.0720175733128161,US,1042752000.0,80431000.0,Healthcare,Health Information Services,66.83999633789062,USD,124719000.0,0.6407,0.0,20.76,298243008.0,1.91,0.43,
PETS,Petmed Express Inc,3.295,63.9219578772152,,0.05092585,426561.4664031621,283118.7916666667,13.23,3.14,NASDAQ,-0.7392464189124407,US,270772000.0,-2574000.0,Healthcare,Pharmaceutical Retailers,12.590001106262209,USD,70187000.0,-0.366,0.5887,-64.67,6163000.0,-7.720000000000001,0.0,37.974686
JCSE,JE Cleantech Holdings Ltd,1.2012,6.014002092943202,11.962,-2.1329417,228151.39130434784,198676.5,1.8,0.6014,NASDAQ,-0.1833103707771124,SG,18032000.0,519000.0,Industrials,Specialty Industrial Machinery,1.4700000286102295,SGD,,0.1037,0.0,,1712000.0,2.1,0.4775,
FUND,Sprott Focus Trust Inc,7.64,236.21,8.0883,,31050.2371541502,34033.75,8.22,6.75,NASDAQ,0.0123687785477362,CA,8396459.0,27477272.0,Financial Services,Asset Management,7.546911239624023,USD,,0.9206,,4.73,,10.33,0.0001,
VBFC,Village Bank and Trust Financial Corp,47.94,71.44308800000002,37.2487,0.48852038,665.0873015873016,247.91304347826087,48.95,36.08,NASDAQ,0.0387790707628501,US,26085000.0,2564000.0,Financial Services,Banks - Regional,46.15514373779297,USD,,1.2907,0.6556,-9.05,,1.51,0.8802,1.521877
OPOF,Old Point Financial Corp,18.45,90.39636753708716,11.8846,0.35129926,4412.324110671937,5367.416666666667,20.26,13.486,NASDAQ,-0.0046994370662742,US,58406000.0,7091000.0,Financial Services,Banks - Regional,18.536874771118164,USD,,1.5383,0.5611,7.89,,5.57,0.3002,3.028664
CORT,Corcept Therapeutics Inc,33.99,3590.3611819124817,33.6248,0.704936,1072234.8972332017,1032880.375,39.74,20.84,NASDAQ,0.1074757922832008,US,569609984.0,124963000.0,Healthcare,Biotechnology,30.700000762939453,USD,58311000.0,0.9499,,3.76,128579000.0,20.95,0.0,
OPRT,Oportun Financial Corp,2.89,101.42936918772564,,0.86431,279829.9802371542,144661.875,7.72,2.06,NASDAQ,-0.5584172722508616,US,853006976.0,-104300000.0,Financial Services,Credit Services,6.53000020980835,USD,,-4.8799,,,,-5.43,7.1962,
SLM,SLM Corp,20.415,4440.56118686961,7.6378,1.167541,1959262.0750988144,1822712.7083333333,23.95,12.26,NASDAQ,0.4013685218198271,US,1684523008.0,721083008.0,Financial Services,Credit Services,14.581377029418944,USD,,2.4839,0.516,6.79,,8.18,2.7794,2.2066197
CFFS,CF Acquisition Corp VII,11.02,113.28706699363056,38.9883,-0.00810344,25797.222222222223,16291.304347826086,11.255,10.35,NASDAQ,0.0338654531117226,US,,-2292985.0,Financial Services,Shell Companies,10.65999984741211,USD,,0.1378,,,,1.88,0.058,
SNAX,Stryve Foods Inc,1.57,5.110641668393136,,1.594749,25677.130434782608,12104.75,4.62,1.07,NASDAQ,-0.6271996217534667,US,17662350.0,-18326944.0,Consumer Defensive,Packaged Foods,4.199999809265137,USD,360600.0,-16.1659,,,-12070811.0,-149.62,0.3473,
JAKK,JAKKS Pacific Inc,21.145,231.21444046472016,5.9564,1.8011632,112379.31225296445,108831.91666666669,36.71,15.31,NASDAQ,0.0741057015369284,US,675835008.0,28593000.0,Consumer Cyclical,Leisure,19.690000534057617,USD,320932000.0,3.6266,0.0,,42027000.0,19.65,0.0,
CHY,Calamos Convertible and High Income Fund,11.4,868.95,,,155428.2885375494,165898.20833333334,12.16,10.73,NASDAQ,0.1016153479036259,US,18841652.0,76324792.0,Financial Services,Asset Management,10.351183891296388,USD,,-0.1258,1.0967,-22.3,,-0.79,0.6694,
OPTN,OptiNose Inc,0.9406,140.49354639047615,,2.0037537,640134.9802371542,662839.5833333334,2.1,0.8,NASDAQ,-0.2420272899007695,US,74021000.0,-30703000.0,Healthcare,Drug Manufacturers - Specialty & Generic,1.2400000095367432,USD,238167000.0,-0.3166,,,-16042000.0,-75.6,18.4118,
CBNK,Capital Bancorp Inc,23.82,329.2037569908158,9.0709,0.22363394,22952.932806324112,32295.5,26.2,18.53,NASDAQ,0.1726889081966096,US,157492000.0,33585000.0,Financial Services,Banks - Regional,20.32115936279297,USD,,2.5476,0.2798,19.88,,12.72,0.1062,1.4523709
AIRE,reAlpha Tech Corp,1.311,57.62462795237037,,0.83815503,1460357.065,181579.7083333333,575.41,0.5311,NASDAQ,,US,91510.0,-2431843.0,Real Estate,Real Estate Services,,USD,,-0.0293,,,-9918278.0,-4.98,0.0177,
IPWR,Ideal Power Inc,8.82,67.8902414322034,,1.9284787,23780.62450592885,16499.916666666668,13.9,6.52,NASDAQ,-0.1691306145297791,US,276946.0,-9895661.0,Industrials,Electrical Equipment & Parts,10.609999656677246,USD,8873475.0,-1.6079,,,-9940083.0,-98.95,0.0,
DRVN,Driven Brands Holdings Inc,13.05,2133.8575768898763,,1.0940295,1313291.8221343874,1087805.4583333333,16.0,10.59,NASDAQ,-0.0939950288285426,US,2318502912.0,-762366976.0,Consumer Cyclical,Auto & Truck Dealerships,14.399999618530272,USD,768927000.0,-4.6009,,,476380992.0,-19.35,3.2486,
VC,Visteon Corp,100.34,2788.292613598538,5.5975,0.64748937,281678.03557312256,339368.4583333333,149.61,96.57,NASDAQ,-0.2951987852463907,US,3951000064.0,545000000.0,Consumer Cyclical,Auto Parts,142.22999572753906,USD,3753000000.0,17.0526,0.0,4.94,450000000.0,35.370000000000005,0.3237,
PCRX,Pacira Biosciences Inc,22.35,1033.474209899015,24.5505,0.5679453,664177.4861660079,1086841.8333333333,39.04,19.34,NASDAQ,-0.4098961975982362,US,690310016.0,63593000.0,Healthcare,Drug Manufacturers - Specialty & Generic,37.81999969482422,USD,214257000.0,0.8072,,35.2,175340000.0,3.01,0.6004,
BNTX,Biontech SE,80.745,18839.764499,20.2513,0.44807798,702490.4268774703,629061.5833333334,125.83,76.5301,NASDAQ,-0.2349157337480378,DE,2690599936.0,-504400000.0,Healthcare,Biotechnology,105.45999908447266,EUR,,3.8331,0.0,,-621500032.0,4.55,0.0108,
BSFC,Blue Star Foods Corp,1.45,3.6918433548387095,,0.7371963,444086.6482213439,1433680.0,102.5,1.62,NASDAQ,-0.9687080086557894,US,6486419.0,-3613305.0,Consumer Defensive,Packaged Foods,45.900001525878906,USD,1024.0,-43.8431,,,-4121118.0,-127.81,0.3484,
GYRE,Gyre Therapeutics Inc,9.94,880.7541662929293,,-0.5567964,72867.41897233202,53748.375,30.4,4.8,NASDAQ,0.9525960877505604,US,115691000.0,-87645000.0,Healthcare,Biotechnology,5.099999904632568,USD,,-1.4117,19.5652,,21873000.0,-190.84,0.0,
XPON,Expion360 Inc,0.0945,0.6849636886227544,,0.26858532,1189344.0513833992,11508668.541666666,6.39,0.2403,NASDAQ,-0.9820259191484128,US,5445816.0,-7671936.0,Industrials,Electrical Equipment & Parts,5.199999809265137,USD,12342817.0,-1.0825,,,-7252071.0,-87.27000000000001,0.5972,
VXRT,Vaxart Inc,0.64,143.48274217989598,,1.9875958,2003433.490118577,1805611.375,1.53,0.52,NASDAQ,-0.0988485273933709,US,8885000.0,-81742000.0,Healthcare,Biotechnology,0.7099999785423279,USD,80000000.0,-0.5694,,,-73106000.0,-128.39,0.1112,
VALU,Value Line Inc,42.8099,400.8657735868853,21.3974,0.467746,3946.102766798419,10802.666666666666,60.27,32.07,NASDAQ,-0.2154069132282351,US,37487000.0,19016000.0,Financial Services,Financial Data & Stock Exchanges,54.52693557739258,USD,16673000.0,2.0169,1.1222,12.58,10488000.0,20.94,0.0,2.8578234
OVID,Ovid Therapeutics Inc,0.9,65.26905618285716,,0.734247,351036.56916996045,324706.3333333333,4.13,0.68,NASDAQ,-0.745274367030428,US,473695.0,-50676960.0,Healthcare,Biotechnology,3.5199999809265137,USD,88588048.0,-0.7415,,,-61246180.0,-59.61,0.0,
UCL,Ucloudlink Group Inc,1.4,54.207589,18.497,0.70488816,19887.770750988144,18621.08333333333,3.345,1.17,NASDAQ,-0.553703226303091,HK,85698000.0,1167000.0,Communication Services,Telecom Services,3.130000114440918,USD,,0.0076,,,5392000.0,13.170000000000002,0.33,
UBSI,United Bankshares Inc,36.12,4875.165612308823,13.0504,0.8736707,611942.5533596838,709428.3333333334,39.93,25.36,NASDAQ,0.1422154692284651,US,1011776000.0,357988992.0,Financial Services,Banks - Regional,31.63427734375,USD,,2.7184,1.4427,7.34,,6.98,0.0995,4.1855206
FEXD,Fintech Ecosystem Development Corp,11.41,45.32055289908257,11.8022,0.07543737,16131.349206349209,73.91304347826087,12.92,10.58,NASDAQ,0.0615691065058283,US,,1778480.0,Financial Services,Shell Companies,10.75,USD,699307.0,0.2661,,,,3.4000000000000004,0.0044,
KOD,Kodiak Sciences Inc,2.44,130.29191618974247,,5.519616,686516.9011857708,285194.8333333333,7.77,1.37,NASDAQ,-0.2308371942748278,US,,-232750000.0,Healthcare,Biotechnology,3.1700000762939453,USD,90449000.0,-4.9698,,,-229570000.0,-98.01,0.0,
PNFP,Pinnacle Financial Partners Inc,87.04,6670.427024666746,11.8659,1.2183458,457981.790513834,583183.0416666666,98.58,59.66,NASDAQ,0.2050533027589403,US,1491270016.0,389496000.0,Financial Services,Banks - Regional,72.2660903930664,USD,,7.3342,1.0914,12.0,,8.43,0.1055,1.0340775
GOVX,GeoVax Labs Inc,1.851,9.264112,,0.77547544,796888.4505928854,776453.8333333334,9.75,1.0901,NASDAQ,-0.7777711511827549,US,301000.0,-26915762.0,Healthcare,Biotechnology,8.295000076293945,USD,1225495.0,-14.2887,,,-27160256.0,-450.58,0.0,
ATLX,Atlas Lithium Corp,9.46,135.25942753633444,,0.9100415,79455.13043478261,56435.333333333336,33.95,8.82,NASDAQ,-0.6530856575364296,US,186707.0,-50391056.0,Basic Materials,Other Industrial Metals & Mining,27.190000534057617,USD,863189.0,-4.1124,,,-51189596.0,-221.81000000000003,1.0989,
AIMAU,Aimfinity Investment Corp I,11.6,40.45,21.1205,,364.0355731225296,125.04166666666669,12.6,10.515,NASDAQ,0.0863888859902131,US,,1674439.0,Financial Services,Shell Companies,10.68000030517578,USD,,0.2956,,,,4.75,0.0257,
SDA,SunCar Technology Group Inc,8.96,787.6104167546755,,-0.11324906,548309.4071146245,247365.8333333333,20.18,5.54,NASDAQ,-0.4121572199948191,CN,363745984.0,-26912000.0,Consumer Cyclical,Auto & Truck Dealerships,15.220000267028809,USD,,-0.0778,,,-11348000.0,-0.51,0.0106,
CLRC,ClimateRock,11.56,52.6223,108.852,0.008532367,8830.559523809523,3104.391304347826,12.3485,10.67,NASDAQ,0.0836499064886369,GB,,-295933.0,Financial Services,Shell Companies,10.670000076293944,USD,81557355.0,0.0762,,,,1.93,0.093,
BOTJ,Bank of the James,13.02,60.380960652798784,6.9319,0.16564548,4250.426877470356,11444.083333333334,15.75,9.4903,NASDAQ,0.2247188570561136,US,43412000.0,8521000.0,Financial Services,Banks - Regional,10.636917114257812,USD,,1.9078,0.3196,9.1,,10.489999999999998,0.3823,3.0120482
ASTE,Astec Industries Inc,31.72,722.9357280658343,21.379,0.19968298,146882.58498023715,160583.08333333334,56.18,28.5,NASDAQ,-0.3888501031509552,US,1295000064.0,-2300000.0,Industrials,Farm & Heavy Construction Machinery,51.83218765258789,USD,447821000.0,1.4705,0.5205,,93500000.0,4.55,0.1272,1.6650656
BPYPP,Brookfield Property Partners LP,14.72,108.78,,1.5491079,22843.249011857708,12643.416666666666,15.99,11.1,NASDAQ,0.11097637004965,BM,10314999808.0,-541000000.0,Real Estate,Real Estate Services,13.253427505493164,USD,,-1.3767,1.5612,4.14,4873999872.0,-0.5499999999999999,8.0792,10.935397
APTO,Aptose Biosciences Inc,0.496,9.13437765117647,,-0.2468396,67220.83794466403,96153.0,5.1,0.4,NASDAQ,-0.8767090822466994,CA,,-47171000.0,Healthcare,Biotechnology,4.0,USD,,-7.5806,,,-47944000.0,-110.82,0.0,
ALGS,Aligos Therapeutics Inc,0.5451,41.40614632070629,,2.9478025,300374.4466403162,433551.4583333333,1.19,0.35,NASDAQ,-0.4389303076617858,US,7967000.0,-75735000.0,Healthcare,Biotechnology,0.9700000286102296,USD,,-1.3644,,,-91565000.0,-94.97,0.0026,
MOMO,Hello Group Inc,6.725,1243.747325,0.6353,0.66072184,1598979.1581027668,1337642.7916666667,10.65,4.79,NASDAQ,-0.2903201066119728,CN,11743885312.0,1572476032.0,Communication Services,Internet Content & Information,9.467204093933104,CNY,,4.8716,2.5413,-6.95,2400228096.0,14.000000000000002,0.1841,0.0
MNPR,Monopar Therapeutics Inc,0.5461,10.404439913822818,,2.7543068,1682870.043478261,59380.04166666666,1.71,0.2739,NASDAQ,-0.2715270972880149,US,,-7608866.0,Healthcare,Biotechnology,0.7490000128746033,USD,9131236.0,-0.6078,,,,-150.37,0.0,
CXAI,CXApp Inc,1.95,29.15989085635359,,2.5679414,2813651.0434782607,257488.0833333333,7.27,1.03,NASDAQ,-0.7120949187386217,US,7222000.0,-57166000.0,Technology,Software - Application,6.75,USD,228025.0,-4.7019,,,-11887000.0,1670.0,1.5,
ARTNA,Artesian Resources Corp,37.64,384.2556339727475,22.1846,0.5840579,49199.513833992096,40611.54166666666,47.88,33.34,NASDAQ,-0.1543946335056991,US,103075000.0,18287000.0,Utilities,Utilities - Regulated Water,44.49204254150391,USD,16648000.0,1.6662,1.1364,4.92,44989000.0,4.06,0.7837,3.2869856
RBKB,Rhinebeck Bancorp Inc,8.45,92.17945480880648,20.9107,0.22033378,6278.482213438735,3414.833333333333,9.49,6.15,NASDAQ,0.2217685329856222,US,40855000.0,4262000.0,Financial Services,Banks - Regional,6.920000076293945,USD,,0.4049,,1.48,,3.7,0.0453,
GROW,US Global Investors Inc,2.5622,35.756006862745096,11.3069,0.5919439,32340.355731225296,39400.41666666666,3.2163,2.47,NASDAQ,-0.1421974034166129,US,11854000.0,1647000.0,Financial Services,Asset Management,2.9856793880462646,USD,26816000.0,0.2152,0.0899,,446000.0,6.02,0.0019,3.529412
MMAT,Meta Materials Inc,2.08,13.391741915427136,,0.7598875,375156.9090909091,86876.875,26.9,1.8,NASDAQ,-0.9139136876490808,CA,9825644.0,-390354944.0,Technology,Electronic Components,24.0,USD,164495.0,-69.1015,0.0,,-33048494.0,-1494.58,0.2146,
RXST,Rxsight Inc,49.35,1944.4574723399653,,1.8474766,502287.0276679842,785942.4166666666,65.195,20.7,NASDAQ,0.7690474637672258,US,115177000.0,-36771000.0,Healthcare,Medical Devices,27.940000534057617,USD,176295000.0,-1.4108,,,-38307000.0,-30.28,0.001,
PLTK,Playtika Holding Corp,7.03,2609.030675834302,10.9206,1.0586109,976599.3083003951,680701.0416666666,10.97,6.25,NASDAQ,-0.2721211137730186,IL,2546200064.0,214800000.0,Communication Services,Electronic Gaming & Multimedia,9.649799346923828,USD,754500000.0,0.6407,,4.0,633699968.0,53.91,0.3493,5.813954
KE,Kimball Electronics Inc,20.5,513.9221327486365,9.1766,0.93838024,97946.9881422925,101228.66666666669,31.43,19.595,NASDAQ,-0.2540588116591945,US,1780493056.0,32125000.0,Industrials,Electrical Equipment & Parts,27.459999084472656,USD,354192000.0,2.2231,,10.79,124714000.0,6.93,0.5372,
INAB,"IN8BIO, Inc.",0.6841,30.441113542877293,,1.2450856,363152.3174603175,91116.69565217392,2.46,0.65,NASDAQ,-0.4059786716257189,US,,-31044000.0,Healthcare,Biotechnology,1.149999976158142,USD,38980000.0,-1.0048,,,-29282000.0,-114.72,0.0489,
MBIO,Mustang Bio Inc,0.3207,10.890170828852458,,4.24827,3513895.345238095,2527688.1304347827,5.1,0.1292,NASDAQ,-0.933404081513625,US,,-40100000.0,Healthcare,Biotechnology,4.78000020980835,USD,27499000.0,-5.9974,,,-38243000.0,-41952.85,0.0,
INNV,InnovAge Holding Corp,5.98,810.4861622222222,,0.7886253,37206.14682539683,59467.34782608696,7.73,3.52,NASDAQ,-0.0189192321639718,US,741328000.0,-30815000.0,Healthcare,Medical Care Facilities,6.09499979019165,USD,250932000.0,-0.3001,,,-11186000.0,-10.63,0.2919,
QTRX,Quanterix Corp,12.82,495.2149371204437,,1.2831367,378435.8134920635,402901.0869565217,29.66,11.83,NASDAQ,-0.4707331815068558,US,125978000.0,-36303000.0,Healthcare,Medical Devices,24.18000030517578,USD,59496000.0,-0.8601,,,-42550000.0,-9.32,0.0,
NTES,NetEase Inc,89.61,54178.805821975,1.8418,0.73268527,1610219.0833333333,1574235.1739130437,118.895,81.3,NASDAQ,-0.1438127481534666,CN,105273614336.0,30295863296.0,Communication Services,Electronic Gaming & Multimedia,104.61717224121094,CNY,,9.0456,2.4908,19.88,30652450816.0,20.43,0.1582,2.9468763
FROG,Jfrog Ltd,24.68,2655.206442997357,,2.2992058,1077378.134920635,1300590.8695652173,48.8,21.39,NASDAQ,-0.0748127975038657,US,389249984.0,-48073000.0,Technology,Software - Application,26.670000076293945,USD,652561000.0,-0.5929,,,-46331000.0,-9.02,0.0,
QCRH,QCR Holdings Inc,70.45,1186.1872778673364,10.487,0.6330959,58210.07936507936,94493.04347826086,79.61,46.1,NASDAQ,0.330351564188859,US,336452000.0,113816000.0,Financial Services,Banks - Regional,52.99735641479492,USD,,6.7328,0.2402,19.05,,9.71,0.3195,0.34458005
TWKS,Thoughtworks Holding Inc,4.33,1399.2835316898147,,1.0028547,1019719.1547619049,3056240.304347826,5.44,2.195,NASDAQ,-0.1255740222969676,US,1032809024.0,-115654000.0,Technology,Information Technology Services,4.949999809265137,USD,678939000.0,-0.2161,0.0,,-2321000.0,-6.44,0.3792,
STIM,Neuronetics Inc,1.87,55.77446808053475,,2.5640516,152985.3134920635,139260.8260869565,5.03,1.03,NASDAQ,0.0163494856908277,US,73225000.0,-27542000.0,Healthcare,Diagnostics & Research,1.840000033378601,USD,114473000.0,-1.0534,,,-23456000.0,-32.300000000000004,1.7339,
SJ,Scienjoy Holding Corp,1.0442,43.09970524271844,0.2208,-0.5250987,130333.36904761904,21904.739130434784,4.77,0.6564,NASDAQ,-0.651777111447926,CN,1476878976.0,-21058000.0,Communication Services,Broadcasting,2.990000009536743,CNY,12443.0,4.9186,,,36390500.0,16.580000000000002,0.0043,
